Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,46.660000,47.419998,46.540001,46.759998,41.348206,27913900
2015-01-05,46.369999,46.730000,46.250000,46.330002,40.967976,39673900
2015-01-06,46.380001,46.750000,45.540001,45.650002,40.366688,36447900
2015-01-07,45.980000,46.459999,45.490002,46.230000,40.879539,29114100
2015-01-08,46.750000,47.750000,46.720001,47.590000,42.082142,29645200
2015-01-09,47.610001,47.820000,46.900002,47.189999,41.728439,23944200
2015-01-12,47.419998,47.540001,46.360001,46.599998,41.206730,23651900
2015-01-13,46.970001,47.910000,46.060001,46.360001,40.994503,35270600
2015-01-14,45.959999,46.240002,45.619999,45.959999,40.640797,29719600
2015-01-15,46.220001,46.380001,45.410000,45.480000,40.216362,32750800
2015-01-16,45.310001,46.279999,45.169998,46.240002,40.888405,35695300
2015-01-20,46.299999,46.650002,45.570000,46.389999,41.021030,36161900
2015-01-21,45.939999,46.139999,45.480000,45.919998,40.605423,39081100
2015-01-22,46.380001,47.139999,46.080002,47.130001,41.675385,35898000
